FIPS,year,name,parent-location,population,poverty-rate,renter-occupied-households,pct-renter-occupied,median-gross-rent,median-household-income,median-property-value,eviction-filings,evictions,eviction-rate,eviction-filing-rate
482011000001,2001,1000.1,"Harris County, Texas",4904.0,67.64,265.0,94.47,282.0,7697.0,0.0,22.0,17.0,6.41,8.3
482011000001,2002,1000.1,"Harris County, Texas",4904.0,67.64,291.0,94.47,282.0,7697.0,0.0,14.0,6.0,2.06,4.8
482011000001,2003,1000.1,"Harris County, Texas",4904.0,67.64,318.0,94.47,282.0,7697.0,0.0,24.0,11.0,3.46,7.56
482011000001,2004,1000.1,"Harris County, Texas",4904.0,67.64,344.0,94.47,282.0,7697.0,0.0,16.0,12.0,3.49,4.65
482011000001,2005,1000.1,"Harris County, Texas",1504.69,0.0,370.0,90.31,367.0,10433.0,208300.0,1.0,1.0,0.27,0.27
482011000001,2006,1000.1,"Harris County, Texas",1504.69,0.0,396.0,90.31,367.0,10433.0,208300.0,12.0,11.0,2.78,3.03
482011000001,2007,1000.1,"Harris County, Texas",1504.69,0.0,422.0,90.31,367.0,10433.0,208300.0,4.0,3.0,0.71,0.95
482011000001,2008,1000.1,"Harris County, Texas",1504.69,0.0,449.0,90.31,367.0,10433.0,208300.0,4.0,4.0,0.89,0.89
482011000001,2009,1000.1,"Harris County, Texas",1504.69,0.0,475.0,90.31,367.0,10433.0,208300.0,9.0,4.0,0.84,1.9
482011000002,2001,1000.2,"Harris County, Texas",936.33,25.76,396.0,97.76,622.89,18295.24,15831.05,19.0,7.0,1.77,4.8
482011000002,2002,1000.2,"Harris County, Texas",936.33,25.76,397.0,97.76,622.89,18295.24,15831.05,20.0,5.0,1.26,5.04
482011000002,2003,1000.2,"Harris County, Texas",936.33,25.76,398.0,97.76,622.89,18295.24,15831.05,20.0,10.0,2.51,5.03
482011000002,2004,1000.2,"Harris County, Texas",936.33,25.76,399.0,97.76,622.89,18295.24,15831.05,21.0,8.0,2.01,5.26
482011000002,2005,1000.2,"Harris County, Texas",575.42,0.05,400.0,99.96,787.77,36513.23,78.93,7.0,7.0,1.75,1.75
482011000002,2006,1000.2,"Harris County, Texas",575.42,0.05,401.0,99.96,787.77,36513.23,78.93,9.0,7.0,1.75,2.24
482011000002,2007,1000.2,"Harris County, Texas",575.42,0.05,402.0,99.96,787.77,36513.23,78.93,18.0,7.0,1.74,4.48
482011000002,2008,1000.2,"Harris County, Texas",575.42,0.05,403.0,99.96,787.77,36513.23,78.93,4.0,4.0,0.99,0.99
482011000002,2009,1000.2,"Harris County, Texas",575.42,0.05,404.0,99.96,787.77,36513.23,78.93,6.0,5.0,1.24,1.49
482011000003,2001,1000.3,"Harris County, Texas",838.0,26.1,462.0,94.62,1159.95,65812.57,0.0,4.0,2.0,0.43,0.87
482011000003,2002,1000.3,"Harris County, Texas",838.0,26.1,466.0,94.62,1159.95,65812.57,0.0,10.0,2.0,0.43,2.14
482011000003,2003,1000.3,"Harris County, Texas",838.0,26.1,471.0,94.62,1159.95,65812.57,0.0,29.0,8.0,1.7,6.16
482011000003,2004,1000.3,"Harris County, Texas",838.0,26.1,476.0,94.62,1159.95,65812.57,0.0,16.0,6.0,1.26,3.36
482011000003,2005,1000.3,"Harris County, Texas",1006.31,14.29,481.0,74.12,1404.76,89280.8,353226.85,8.0,6.0,1.25,1.66
482011000003,2006,1000.3,"Harris County, Texas",1006.31,14.29,485.0,74.12,1404.76,89280.8,353226.85,6.0,0.0,0.0,1.24
482011000003,2007,1000.3,"Harris County, Texas",1006.31,14.29,490.0,74.12,1404.76,89280.8,353226.85,17.0,9.0,1.84,3.47
482011000003,2008,1000.3,"Harris County, Texas",1006.31,14.29,495.0,74.12,1404.76,89280.8,353226.85,24.0,6.0,1.21,4.85
482011000003,2009,1000.3,"Harris County, Texas",1006.31,14.29,499.0,74.12,1404.76,89280.8,353226.85,16.0,4.0,0.8,3.2
482011000003,2010,1000.3,"Harris County, Texas",1115.0,0.0,504.0,65.03,1524.0,92417.0,222300.0,26.0,5.0,0.99,5.16
482011000003,2011,1000.3,"Harris County, Texas",1199.0,0.0,522.0,62.11,1648.0,91324.0,208000.0,32.0,9.0,1.73,6.13
