FIPS,Urban,LATracts_half,LATracts1,LATracts10,LATracts20
48201100000,1,0,0,0,0
48201210100,1,1,0,0,0
48201210400,1,1,0,0,0
48201210500,1,1,0,0,0
48201210600,1,1,0,0,0
48201210700,1,0,0,0,0
48201210800,1,1,0,0,0
48201210900,1,0,0,0,0
48201211000,1,0,0,0,0
48201211100,1,1,1,0,0
48201211200,1,1,0,0,0
48201211300,1,1,1,0,0
48201211400,1,1,1,0,0
48201211500,1,1,1,0,0
48201211600,1,1,0,0,0
48201211700,1,1,1,0,0
48201211900,1,1,0,0,0
48201212300,1,1,0,0,0
48201212400,1,1,0,0,0
48201212500,1,1,1,0,0
48201220100,1,1,0,0,0
48201220200,1,1,0,0,0
48201220300,1,1,0,0,0
48201220400,1,0,0,0,0
48201220500,1,1,0,0,0
48201220600,1,1,0,0,0
48201220700,1,1,0,0,0
48201220800,1,0,0,0,0
48201220900,1,1,0,0,0
48201221000,1,1,0,0,0
48201221100,1,1,1,0,0
48201221200,1,1,0,0,0
48201221300,1,1,1,0,0
48201221400,1,1,0,0,0
48201221500,1,1,0,0,0
48201221600,1,1,1,0,0
48201221700,1,1,1,0,0
48201221800,1,1,0,0,0
48201221900,1,1,0,0,0
48201222000,1,0,0,0,0
48201222100,1,1,0,0,0
48201222200,1,1,0,0,0
48201222300,1,1,1,0,0
48201222401,1,1,1,0,0
48201222402,1,1,1,0,0
48201222501,1,1,0,0,0
48201222502,1,1,1,0,0
48201222503,1,1,0,0,0
48201222600,1,1,0,0,0
48201222700,1,1,1,0,0
48201222800,1,1,1,0,0
48201222900,1,1,1,0,0
48201223001,1,1,0,0,0
48201223002,1,1,0,0,0
48201223100,1,1,0,0,0
48201230100,1,1,0,0,0
48201230200,1,1,1,0,0
48201230300,1,1,1,0,0
48201230400,1,1,1,0,0
48201230500,1,1,0,0,0
48201230600,1,1,0,0,0
48201230700,1,1,0,0,0
48201230800,1,1,1,0,0
48201230900,1,1,1,0,0
48201231000,1,1,1,0,0
48201231100,1,1,0,0,0
48201231200,1,1,1,0,0
48201231300,1,1,1,0,0
48201231400,1,1,0,0,0
48201231500,1,1,0,0,0
48201231600,1,1,0,0,0
48201231700,1,1,0,0,0
48201231800,1,1,0,0,0
48201231900,1,1,1,0,0
48201232000,0,0,0,0,0
48201232100,1,1,0,0,0
48201232200,1,1,1,0,0
48201232301,0,0,0,0,0
48201232302,1,1,1,0,0
48201232401,1,1,1,0,0
48201232402,1,1,0,0,0
48201232403,1,1,1,0,0
48201232500,1,1,1,0,0
48201232600,1,1,0,0,0
48201232701,1,1,1,0,0
48201232702,1,1,0,0,0
48201232800,1,1,0,0,0
48201232900,1,1,0,0,0
48201233001,1,0,0,0,0
48201233002,1,1,0,0,0
48201233003,1,1,0,0,0
48201233101,1,1,0,0,0
48201233102,1,1,0,0,0
48201233103,1,1,0,0,0
48201233200,1,1,0,0,0
48201233300,1,1,1,0,0
48201233400,1,0,0,0,0
48201233500,1,1,0,0,0
48201233600,1,1,1,0,0
48201233701,1,1,0,0,0
48201233702,1,1,0,0,0
48201233703,1,1,1,0,0
48201240100,1,0,0,0,0
48201240400,1,1,1,0,0
48201240501,1,1,0,0,0
48201240502,1,1,0,0,0
48201240600,1,0,0,0,0
48201240701,1,1,1,0,0
48201240702,1,1,1,0,0
48201240801,1,1,1,0,0
48201240802,1,1,1,0,0
48201240901,1,1,1,0,0
48201240902,1,1,1,0,0
48201241000,1,1,1,0,0
48201241101,1,1,1,0,0
48201241102,1,1,1,0,0
48201241103,1,1,0,0,0
48201241200,1,1,0,0,0
48201241300,1,1,1,0,0
48201241400,1,1,1,0,0
48201241500,1,1,1,0,0
48201250100,1,1,1,0,0
48201250200,1,1,1,0,0
48201250301,1,1,1,0,0
48201250302,1,1,0,0,0
48201250401,1,1,0,0,0
48201250402,1,1,1,0,0
48201250500,1,1,1,0,0
48201250600,1,1,1,0,0
48201250701,0,0,0,0,0
48201250702,1,1,0,0,0
48201250800,1,1,1,0,0
48201250900,1,1,1,0,0
48201251000,1,1,1,0,0
48201251100,1,1,1,0,0
48201251200,1,1,1,0,0
48201251300,1,1,1,0,0
48201251401,1,1,1,0,0
48201251402,1,1,1,0,0
48201251501,1,1,1,0,0
48201251502,1,1,1,0,0
48201251503,1,1,0,0,0
48201251600,0,0,0,0,0
48201251700,1,1,1,0,0
48201251800,0,0,0,0,0
48201251901,0,0,0,0,0
48201251902,1,1,1,0,0
48201252000,1,1,1,0,0
48201252100,1,1,1,0,0
48201252200,1,1,1,0,0
48201252301,1,1,1,0,0
48201252302,1,1,1,0,0
48201252400,1,1,0,0,0
48201252500,1,1,1,0,0
48201252600,1,1,1,0,0
48201252700,0,0,0,0,0
48201252800,0,0,0,0,0
48201252900,1,1,1,0,0
48201253000,1,1,1,0,0
48201253100,1,1,1,0,0
48201253200,0,0,0,0,0
48201253300,1,1,1,0,0
48201253400,1,1,1,0,0
48201253500,1,1,1,0,0
48201253600,1,1,0,0,0
48201253700,1,1,0,0,0
48201253800,1,1,1,0,0
48201253900,1,1,0,0,0
48201254000,1,1,0,0,0
48201254100,1,1,0,0,0
48201254200,1,1,1,0,0
48201254300,1,1,0,0,0
48201254400,1,1,1,0,0
48201254500,1,1,1,0,0
48201254600,1,1,1,0,0
48201254700,1,1,1,0,0
48201310100,1,1,1,0,0
48201310200,1,1,0,0,0
48201310300,1,1,0,0,0
48201310400,1,1,1,0,0
48201310500,1,1,0,0,0
48201310600,1,1,0,0,0
48201310700,1,1,0,0,0
48201310800,1,0,0,0,0
48201310900,1,1,0,0,0
48201311000,1,1,0,0,0
48201311100,1,1,1,0,0
48201311200,1,0,0,0,0
48201311300,1,1,0,0,0
48201311400,1,1,0,0,0
48201311500,1,1,0,0,0
48201311600,1,0,0,0,0
48201311700,1,1,0,0,0
48201311800,1,0,0,0,0
48201311900,1,1,0,0,0
48201312000,1,1,1,0,0
48201312100,1,1,0,0,0
48201312200,1,0,0,0,0
48201312300,1,1,0,0,0
48201312400,1,1,0,0,0
48201312500,1,1,0,0,0
48201312600,1,0,0,0,0
48201312700,1,1,0,0,0
48201312800,1,1,1,0,0
48201312900,1,1,1,0,0
48201313000,1,1,0,0,0
48201313100,1,1,0,0,0
48201313200,1,1,0,0,0
48201313300,1,1,1,0,0
48201313400,1,1,0,0,0
48201313500,1,1,0,0,0
48201313600,1,0,0,0,0
48201313700,1,0,0,0,0
48201313800,1,1,0,0,0
48201313900,1,1,0,0,0
48201314001,1,0,0,0,0
48201314002,1,1,0,0,0
48201314300,1,1,0,0,0
48201314400,1,1,0,0,0
48201320100,1,0,0,0,0
48201320200,1,1,0,0,0
48201320500,1,1,1,0,0
48201320601,1,1,0,0,0
48201320602,1,0,0,0,0
48201320700,1,1,0,0,0
48201320800,1,1,0,0,0
48201320900,1,1,0,0,0
48201321000,1,1,0,0,0
48201321100,1,1,1,0,0
48201321200,1,1,1,0,0
48201321300,1,0,0,0,0
48201321401,1,1,0,0,0
48201321402,1,1,0,0,0
48201321500,1,0,0,0,0
48201321600,1,1,0,0,0
48201321700,1,0,0,0,0
48201321800,1,1,0,0,0
48201321900,1,1,0,0,0
48201322000,1,0,0,0,0
48201322100,1,1,0,0,0
48201322200,1,0,0,0,0
48201322600,1,1,1,0,0
48201322700,1,1,0,0,0
48201322800,1,1,0,0,0
48201322900,1,1,0,0,0
48201323000,1,1,0,0,0
48201323100,1,1,0,0,0
48201323200,1,1,0,0,0
48201323300,1,1,0,0,0
48201323400,1,0,0,0,0
48201323500,1,0,0,0,0
48201323600,1,1,1,0,0
48201323701,1,1,0,0,0
48201323702,1,1,0,0,0
48201323801,1,0,0,0,0
48201323802,1,1,0,0,0
48201323900,1,1,1,0,0
48201324000,1,1,1,0,0
48201324100,1,1,0,0,0
48201324200,1,1,1,0,0
48201330100,1,1,1,0,0
48201330200,1,1,1,0,0
48201330301,1,1,1,0,0
48201330302,1,1,1,0,0
48201330303,1,1,1,0,0
48201330400,1,1,1,0,0
48201330500,1,1,1,0,0
48201330600,1,1,0,0,0
48201330700,1,1,0,0,0
48201330800,1,1,1,0,0
48201330900,1,1,1,0,0
48201331100,1,1,1,0,0
48201331200,1,1,1,0,0
48201331300,1,1,1,0,0
48201331400,1,1,0,0,0
48201331500,1,1,1,0,0
48201331601,1,1,1,0,0
48201331602,1,1,0,0,0
48201331700,1,1,0,0,0
48201331800,1,1,0,0,0
48201331900,1,1,0,0,0
48201332000,1,1,0,0,0
48201332100,1,1,0,0,0
48201332200,1,1,0,0,0
48201332300,1,1,1,0,0
48201332400,1,1,1,0,0
48201332500,1,1,1,0,0
48201332600,1,1,1,0,0
48201332700,1,1,0,0,0
48201332800,1,0,0,0,0
48201332900,1,1,0,0,0
48201333000,1,1,0,0,0
48201333100,1,0,0,0,0
48201333201,1,1,0,0,0
48201333202,1,1,0,0,0
48201333300,1,0,0,0,0
48201333500,1,1,0,0,0
48201333600,1,1,1,0,0
48201333700,1,1,1,0,0
48201333800,1,1,1,0,0
48201333901,1,1,0,0,0
48201333902,1,1,0,0,0
48201334001,1,1,0,0,0
48201334002,1,0,0,0,0
48201334003,1,1,0,0,0
48201334100,1,1,1,0,0
48201340100,1,1,1,0,0
48201340201,1,1,0,0,0
48201340202,1,1,1,0,0
48201340203,1,1,1,0,0
48201340301,1,1,1,0,0
48201340302,1,1,1,0,0
48201340400,1,0,0,0,0
48201340500,1,1,0,0,0
48201340600,1,1,0,0,0
48201340700,1,1,0,0,0
48201340800,1,1,0,0,0
48201340900,1,1,0,0,0
48201341000,1,1,0,0,0
48201341100,1,1,1,0,0
48201341201,1,1,1,0,0
48201341202,1,1,0,0,0
48201341301,1,1,1,0,0
48201341302,1,1,0,0,0
48201341400,1,1,1,0,0
48201341501,1,1,1,0,0
48201341502,1,1,0,0,0
48201341600,1,1,1,0,0
48201341700,1,1,1,0,0
48201341800,1,1,1,0,0
48201342001,1,1,1,0,0
48201342002,1,1,0,0,0
48201342100,1,1,0,0,0
48201342200,1,1,1,0,0
48201342300,1,1,0,0,0
48201342400,1,1,1,0,0
48201342500,1,1,1,0,0
48201342700,1,1,1,0,0
48201342800,1,1,1,0,0
48201342900,1,1,0,0,0
48201343000,1,1,0,0,0
48201343100,1,1,0,0,0
48201343200,1,1,1,0,0
48201343301,1,1,1,0,0
48201343302,1,1,1,0,0
48201343600,1,1,1,0,0
48201343700,1,1,1,0,0
48201350100,1,1,1,0,0
48201350200,1,1,1,0,0
48201350300,1,1,1,0,0
48201350400,1,0,0,0,0
48201350500,1,1,1,0,0
48201350601,1,1,1,0,0
48201350602,1,1,1,0,0
48201350700,1,1,1,0,0
48201350801,1,1,1,0,0
48201350802,1,1,1,0,0
48201410100,1,1,0,0,0
48201410200,1,1,0,0,0
48201410300,1,0,0,0,0
48201410401,1,0,0,0,0
48201410402,1,0,0,0,0
48201410500,1,1,0,0,0
48201410600,1,0,0,0,0
48201410701,1,1,0,0,0
48201410702,1,0,0,0,0
48201410800,1,0,0,0,0
48201410900,1,0,0,0,0
48201411000,1,0,0,0,0
48201411100,1,1,0,0,0
48201411200,1,1,0,0,0
48201411300,1,0,0,0,0
48201411400,1,1,0,0,0
48201411501,1,1,0,0,0
48201411502,1,1,0,0,0
48201411600,1,1,0,0,0
48201411700,1,1,0,0,0
48201411800,1,1,0,0,0
48201411900,1,1,0,0,0
48201412000,1,1,0,0,0
