FIPS,food_desert_index
48201100000,0
48201210100,2
48201210400,2
48201210500,2
48201210600,2
48201210700,0
48201210800,2
48201210900,0
48201211000,0
48201211100,4
48201211200,2
48201211300,4
48201211400,4
48201211500,4
48201211600,2
48201211700,4
48201211900,2
48201212300,2
48201212400,2
48201212500,4
48201220100,2
48201220200,2
48201220300,2
48201220400,0
48201220500,2
48201220600,2
48201220700,2
48201220800,0
48201220900,2
48201221000,2
48201221100,4
48201221200,2
48201221300,4
48201221400,2
48201221500,2
48201221600,4
48201221700,4
48201221800,2
48201221900,2
48201222000,0
48201222100,2
48201222200,2
48201222300,4
48201222401,4
48201222402,4
48201222501,2
48201222502,4
48201222503,2
48201222600,2
48201222700,4
48201222800,4
48201222900,4
48201223001,2
48201223002,2
48201223100,2
48201230100,2
48201230200,4
48201230300,4
48201230400,4
48201230500,2
48201230600,2
48201230700,2
48201230800,4
48201230900,4
48201231000,4
48201231100,2
48201231200,4
48201231300,4
48201231400,2
48201231500,2
48201231600,2
48201231700,2
48201231800,2
48201231900,4
48201232000,0
48201232100,2
48201232200,4
48201232301,0
48201232302,4
48201232401,4
48201232402,2
48201232403,4
48201232500,4
48201232600,2
48201232701,4
48201232702,2
48201232800,2
48201232900,2
48201233001,0
48201233002,2
48201233003,2
48201233101,2
48201233102,2
48201233103,2
48201233200,2
48201233300,4
48201233400,0
48201233500,2
48201233600,4
48201233701,2
48201233702,2
48201233703,4
48201240100,0
48201240400,4
48201240501,2
48201240502,2
48201240600,0
48201240701,4
48201240702,4
48201240801,4
48201240802,4
48201240901,4
48201240902,4
48201241000,4
48201241101,4
48201241102,4
48201241103,2
48201241200,2
48201241300,4
48201241400,4
48201241500,4
48201250100,4
48201250200,4
48201250301,4
48201250302,2
48201250401,2
48201250402,4
48201250500,4
48201250600,4
48201250701,0
48201250702,2
48201250800,4
48201250900,4
48201251000,4
48201251100,4
48201251200,4
48201251300,4
48201251401,4
48201251402,4
48201251501,4
48201251502,4
48201251503,2
48201251600,0
48201251700,4
48201251800,0
48201251901,0
48201251902,4
48201252000,4
48201252100,4
48201252200,4
48201252301,4
48201252302,4
48201252400,2
48201252500,4
48201252600,4
48201252700,0
48201252800,0
48201252900,4
48201253000,4
48201253100,4
48201253200,0
48201253300,4
48201253400,4
48201253500,4
48201253600,2
48201253700,2
48201253800,4
48201253900,2
48201254000,2
48201254100,2
48201254200,4
48201254300,2
48201254400,4
48201254500,4
48201254600,4
48201254700,4
48201310100,4
48201310200,2
48201310300,2
48201310400,4
48201310500,2
48201310600,2
48201310700,2
48201310800,0
48201310900,2
48201311000,2
48201311100,4
48201311200,0
48201311300,2
48201311400,2
48201311500,2
48201311600,0
48201311700,2
48201311800,0
48201311900,2
48201312000,4
48201312100,2
48201312200,0
48201312300,2
48201312400,2
48201312500,2
48201312600,0
48201312700,2
48201312800,4
48201312900,4
48201313000,2
48201313100,2
48201313200,2
48201313300,4
48201313400,2
48201313500,2
48201313600,0
48201313700,0
48201313800,2
48201313900,2
48201314001,0
48201314002,2
48201314300,2
48201314400,2
48201320100,0
48201320200,2
48201320500,4
48201320601,2
48201320602,0
48201320700,2
48201320800,2
48201320900,2
48201321000,2
48201321100,4
48201321200,4
48201321300,0
48201321401,2
48201321402,2
48201321500,0
48201321600,2
48201321700,0
48201321800,2
48201321900,2
48201322000,0
48201322100,2
48201322200,0
48201322600,4
48201322700,2
48201322800,2
48201322900,2
48201323000,2
48201323100,2
48201323200,2
48201323300,2
48201323400,0
48201323500,0
48201323600,4
48201323701,2
48201323702,2
48201323801,0
48201323802,2
48201323900,4
48201324000,4
48201324100,2
48201324200,4
48201330100,4
48201330200,4
48201330301,4
48201330302,4
48201330303,4
48201330400,4
48201330500,4
48201330600,2
48201330700,2
48201330800,4
48201330900,4
48201331100,4
48201331200,4
48201331300,4
48201331400,2
48201331500,4
48201331601,4
48201331602,2
48201331700,2
48201331800,2
48201331900,2
48201332000,2
48201332100,2
48201332200,2
48201332300,4
48201332400,4
48201332500,4
48201332600,4
48201332700,2
48201332800,0
48201332900,2
48201333000,2
48201333100,0
48201333201,2
48201333202,2
48201333300,0
48201333500,2
48201333600,4
48201333700,4
48201333800,4
48201333901,2
48201333902,2
48201334001,2
48201334002,0
48201334003,2
48201334100,4
48201340100,4
48201340201,2
48201340202,4
48201340203,4
48201340301,4
48201340302,4
48201340400,0
48201340500,2
48201340600,2
48201340700,2
48201340800,2
48201340900,2
48201341000,2
48201341100,4
48201341201,4
48201341202,2
48201341301,4
48201341302,2
48201341400,4
48201341501,4
48201341502,2
48201341600,4
48201341700,4
48201341800,4
48201342001,4
48201342002,2
48201342100,2
48201342200,4
48201342300,2
48201342400,4
48201342500,4
48201342700,4
48201342800,4
48201342900,2
48201343000,2
48201343100,2
48201343200,4
48201343301,4
48201343302,4
48201343600,4
48201343700,4
48201350100,4
48201350200,4
48201350300,4
48201350400,0
48201350500,4
48201350601,4
48201350602,4
48201350700,4
48201350801,4
48201350802,4
48201410100,2
48201410200,2
48201410300,0
48201410401,0
48201410402,0
48201410500,2
48201410600,0
48201410701,2
48201410702,0
48201410800,0
48201410900,0
48201411000,0
48201411100,2
48201411200,2
48201411300,0
48201411400,2
48201411501,2
48201411502,2
48201411600,2
48201411700,2
48201411800,2
48201411900,2
48201412000,2
48201412100,2
48201412200,2
48201412300,2
48201412400,0
48201412500,0
48201412600,0
48201412700,2
48201412800,2
48201412900,0
48201413000,2
48201413100,2
48201413201,0
48201413202,0
48201413300,2
48201420100,2
48201420200,2
48201420300,2
48201420400,2
48201420500,4
48201420600,2
48201420700,0
48201420800,2
48201420900,2
48201421000,2
48201421101,0
48201421102,0
48201421201,0
48201421202,0
48201421300,2
48201421401,0
48201421402,0
48201421403,0
48201421500,0
48201421600,0
48201421700,2
48201421800,2
48201421900,2
48201422000,4
48201422100,4
48201422200,2
48201422301,2
48201422302,2
48201422401,2
48201422402,2
48201422500,0
48201422600,0
48201422701,2
48201422702,2
48201422800,2
48201422900,2
48201423000,2
48201423100,2
48201423201,2
48201423202,2
48201423301,2
48201423302,2
48201423401,2
48201423402,2
48201423500,2
48201423600,4
48201430100,4
48201430200,4
48201430300,4
48201430400,4
48201430500,2
48201430600,4
48201430700,2
48201430800,2
48201430900,4
48201431000,2
48201431101,2
48201431102,2
48201431201,0
48201431202,0
48201431301,0
48201431302,0
48201431401,0
48201431402,2
48201431501,2
48201431502,0
48201431600,4
48201431700,2
48201431801,2
