School,Street,Zip,City,Rating,FIPS
Frostwood Elementary School,12214 Memorial Drive,77024,Houston,10,48201430600
Memorial Drive Elementary School,11202 Smithdale Road,77024,Houston,10,48201430400
Rummel Creek Elementary School,625 Brittmoore Road,77079,Houston,10,48201450100
Wilchester Elementary School,13618 Saint Marys Lane,77079,Houston,10,48201450200
Bush Elementary School,13800 Westerloch Drive,77077,Houston,10,48201451601
River Oaks Elementary School,2008 Kirby Drive,77019,Houston,10,48201411400
West University Elementary School,3756 University Boulevard,77005,Houston,10,48201412400
The School For Highly Gifted Students,8390 Westview Drive,77055,Houston,10,48201520700
KIPP Gulfton Lower School,6700 Bellaire Boulevard,77074,Houston,10,48201421300
Mandarin Chinese Language Immersio,5445 West Alabama Street,77056,Houston,10,48201432001
Houston Gateway Academy,3400 Evergreen Drive,77087,Houston,9,48201332900
Briarmeadow Charter School,3601 Dunvale Road,77063,Houston,9,48201432600
Brookwood Elementary School,16850 Middlebrook Drive,77059,Houston,9,48201340203
Bunker Hill Elementary School,11950 Taylorcrest,77024,Houston,9,48201430600
Hunters Creek Elementary School,10650 Beinhorn Road,77024,Houston,9,48201430300
Crockett Elementary School,2112 Crockett Street,77007,Houston,9,48201510200
Field Elementary School,703 East 17th Street,77008,Houston,9,48201511302
Kolter Elementary School,9710 Runnymeade Drive,77096,Houston,9,48201420700
Oak Forest Elementary School,1401 West 43rd Street,77018,Houston,9,48201531100
Park Place Elementary School,8235 Park Place Boulevard,77017,Houston,9,48201320200
Parker Elementary School,10626 Atwell Drive,77096,Houston,9,48201422000
Roberts Elementary School,6000 Greenbriar Drive,77030,Houston,9,48201412200
Twain Elementary School,7500 Braes Boulevard,77025,Houston,9,48201413000
Wharton Dual Language Academy,900 West Gray Street,77019,Houston,9,48201410200
T H Rogers School,5840 San Felipe Street,77057,Houston,9,48201431501
Houston Gateway Academy Inc Elite,3400 Evergreen Drive,77087,Houston,9,48201332900
Kipp Shine Prep,6700 Bellaire Boulevard,77074,Houston,9,48201421300
Kipp Sharp College Prep,6700 Bellaire Boulevard,77074,Houston,9,48201421300
Amigos Por Vida-Friends For Life C,5503 El Camino Del Rey Street,77081,Houston,8,48201421102
Danish Elementary School,11850 Fallbrook Drive,77065,Houston,8,48201552400
Arlyne & Alan Weber Elementary School,11955 Blackhawk Boulevard,77089,Houston,8,48201350100
Meador Elementary School,10701 Seaford Drive,77089,Houston,8,48201334001
Holbrook Elementary School,6402 Langfield Road,77092,Houston,8,48201532300
Copeland Elementary School,18018 Forest Heights Drive,77095,Houston,8,48201541201
Hairgrove Elementary School,7120 North Eldridge Parkway,77041,Houston,8,48201540100
Burbank Elementary School,216 Tidwell Road,77022,Houston,8,48201220600
