geo_type,geo_name,geo_id,stateusps,pop_tot,HU_tot,HU_100year,Pop_100year,HU_anyyear,Pop_anyyear,PH_units_100year,PH_units_tot,sub_housing_units_100year,PH_units_anyyear,sub_housing_units_anyyear,shr_hu_fp_100,shr_hu_fp_any,shr_hu_renter_fp_100,shr_hu_renter_fp_any,shr_hu_owner_fp_100,shr_hu_owner_fp_any,shr_hu_renter_fp_100_tract,shr_hu_renter_fp_any_tract,shr_hu_owner_fp_100_tract,shr_hu_owner_fp_any_tract,shr_hu_renter_tract,shr_hu_owner_tract,shr_hu_built00s_fp_100,shr_hu_built00s_fp_any,shr_hu_built8099_fp_100,shr_hu_built8099_fp_any,shr_hu_built6079_fp_100,shr_hu_built6079_fp_any,shr_hu_builtpre60_fp_100,shr_hu_builtpre60_fp_any,shr_hu_built00s_tract,shr_hu_built8099_tract,shr_hu_built6079_tract,shr_hu_builtpre60_tract,shr_hu_1fam_fp_100,shr_hu_1fam_fp_any,shr_hu_2to4fam_fp_100,shr_hu_2to4fam_fp_any,shr_hu_5to19fam_fp_100,shr_hu_5to19fam_fp_any,shr_hu_20up_fp_100,shr_hu_20up_fp_any,shr_hu_other_fp_100,shr_hu_other_fp_any,shr_hu_1fam_tract,shr_hu_2to4fam_tract,shr_hu_5to19fam_tract,shr_hu_20up_tract,shr_hu_other_tract,shr_hu_1fam_100year_oftotal,shr_hu_1fam_anyyear_oftotal,shr_hu_2to4fam_100year_oftotal,shr_hu_2to4fam_anyyear_oftotal,shr_hu_5to19fam_100year_oftotal,shr_hu_5to19fam_anyyear_oftotal,shr_hu_20up_100year_oftotal,shr_hu_20up_anyyear_oftotal,shr_hu_other_100year_oftotal,shr_hu_other_anyyear_oftotal,shr_hu_pre60_fp_100_1fam,shr_hu_pre60_fp_any_1fam,shr_hu_pre60_fp_100_2to4fam,shr_hu_pre60_fp_any_2to4fam,shr_hu_pre60_fp_100_5to19fam,shr_hu_pre60_fp_any_5to19fam,shr_hu_pre60_fp_100_20up,shr_hu_pre60_fp_any_20up,shr_hu_pre60_fp_100_Other,shr_hu_pre60_fp_any_Other,shr_pop_asian_fp_100,shr_pop_asian_fp_any,shr_pop_black_fp_100,shr_pop_black_fp_any,shr_pop_hispanic_fp_100,shr_pop_hispanic_fp_any,shr_pop_white_fp_100,shr_pop_white_fp_any,shr_pop_asian_tract,shr_pop_black_tract,shr_pop_hispanic_tract,shr_pop_white_tract,shr_hu_under18_fp_100,shr_hu_under18_fp_any,shr_hu_65up_fp_100,shr_hu_65up_fp_any,shr_hu_under18_tract,shr_hu_65up_tract,shr_pop_poverty_fp_100,shr_pop_poverty_fp_any,shr_pop_poverty_tract,shr_hu_incless25_fp_100,shr_hu_incless25_fp_any,shr_hu_inc25to50_fp_100,shr_hu_inc25to50_fp_any,shr_hu_inc50to75_fp_100,shr_hu_inc50to75_fp_any,shr_hu_inc75up_fp_100,shr_hu_inc75up_fp_any,shr_hu_incless25_tract,shr_hu_inc25to50_tract,shr_hu_inc50to75_tract,shr_hu_inc75up_tract
Census Tract,48001950100,48001950100,TX,5166,114,9.524934383,431.6299213,9.524934383,431.6299213,,,,,,0.083552056,0.083552056,0.868686869,0.868686869,0.131313131,0.131313131,0.083552056,0.083552056,0.083552056,0.083552056,0.868686869,0.131313131,0.02631579,0.02631579,0.684210526,0.684210526,0.289473684,0.289473684,0,0,0.02631579,0.684210526,0.289473684,0,0.289473684,0.289473684,0.421052632,0.421052632,0.228070175,0.228070175,0,0,0.061403509,0.061403509,0.289473684,0.421052632,0.228070175,0,0.061403509,0.083552056,0.083552056,0.083552056,0.083552056,0.083552056,0.083552056,,,0.083552056,0.083552056,,,,,,,,,,,0.006000774,0.006000774,0.391018196,0.391018196,0.269454123,0.269454123,0.333526907,0.333526907,0.006000774,0.391018196,0.269454123,0.333526907,0.535353535,0.535353535,0.03030303,0.03030303,0.535353535,0.03030303,0.36627907,0.36627907,0.36627907,0.424242424,0.424242424,0.202020202,0.202020202,0.101010101,0.101010101,0.272727273,0.272727273,0.424242424,0.202020202,0.101010101,0.272727273
Census Tract,48001950402,48001950402,TX,4587,1657,0,0,0,0,,,,,,0,0,,,,,0,0,0,0,0.394772118,0.605227882,,,,,,,,,0.144840072,0.196741098,0.292094146,0.366324683,,,,,,,,,,,0.721786361,0.033192517,0.176222088,0.068799034,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.001744059,0.210159145,0.316328755,0.446697188,,,,,0.384718499,0.256032172,,,0.326294732,,,,,,,,,0.370643432,0.378686327,0.107238606,0.143431635
Census Tract,48001950500,48001950500,TX,6658,2479,72.54942021,194.8503589,72.54942021,194.8503589,,,,,,0.029265599,0.029265599,0.377906977,0.377906977,0.622093023,0.622093023,0.029265599,0.029265599,0.029265599,0.029265599,0.377906977,0.622093023,0.083501412,0.083501412,0.292456636,0.292456636,0.463493344,0.463493344,0.160548608,0.160548608,0.083501412,0.292456636,0.463493344,0.160548608,0.793868495,0.793868495,0.004033885,0.004033885,0.005647439,0.005647439,0,0,0.196450182,0.196450182,0.793868495,0.004033885,0.005647439,0,0.196450182,0.029265599,0.029265599,0.029265599,0.029265599,0.029265599,0.029265599,,,0.029265599,0.029265599,1,1,0,0,0,0,0,0,0,0,0.000901172,0.000901172,0.296485431,0.296485431,0.180835086,0.180835086,0.5031541,0.5031541,0.000901172,0.296485431,0.180835086,0.5031541,0.416368515,0.416368515,0.252683363,0.252683363,0.416368515,0.252683363,0.178408051,0.178408051,0.178408051,0.302772809,0.302772809,0.293828265,0.293828265,0.228980322,0.228980322,0.174418605,0.174418605,0.302772809,0.293828265,0.228980322,0.174418605
Census Tract,48001950600,48001950600,TX,2644,1155,5.519713262,12.63560335,5.519713262,12.63560335,,,,,,0.004778973,0.004778973,0.558516802,0.558516802,0.441483198,0.441483198,0.004778973,0.004778973,0.004778973,0.004778973,0.558516802,0.441483198,0.078787879,0.078787879,0.133333333,0.133333333,0.18961039,0.18961039,0.598268398,0.598268398,0.078787879,0.133333333,0.18961039,0.598268398,0.794805195,0.794805195,0.12987013,0.12987013,0.011255411,0.011255411,0.055411255,0.055411255,0.008658009,0.008658009,0.794805195,0.12987013,0.011255411,0.055411255,0.008658009,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.004778973,0.88045977,0.88045977,0.087356322,0.087356322,0,0,0.032183908,0.032183908,0,0,0.001134645,0.001134645,0.320726173,0.320726173,0.374810893,0.374810893,0.27193646,0.27193646,0.001134645,0.320726173,0.374810893,0.27193646,0.397450753,0.397450753,0.237543453,0.237543453,0.397450753,0.237543453,0.334290402,0.334290402,0.334290402,0.39976825,0.39976825,0.376593279,0.376593279,0.098493627,0.098493627,0.125144844,0.125144844,0.39976825,0.376593279,0.098493627,0.125144844
Census Tract,48001950700,48001950700,TX,4871,2214,54.24500907,119.3439202,54.24500907,119.3439202,,,,,,0.024500907,0.024500907,0.463227784,0.463227784,0.536772217,0.536772217,0.024500907,0.024500907,0.024500907,0.024500907,0.463227784,0.536772217,0.107497742,0.107497742,0.196928636,0.196928636,0.337850045,0.337850045,0.357723577,0.357723577,0.107497742,0.196928636,0.337850045,0.357723577,0.715447155,0.715447155,0.077687444,0.077687444,0.113369467,0.113369467,0.080849142,0.080849142,0.012646793,0.012646793,0.715447155,0.077687444,0.113369467,0.080849142,0.012646793,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,0.024500907,1,1,0,0,0,0,0,0,0,0,0.038595771,0.038595771,0.244508315,0.244508315,0.074727982,0.074727982,0.621227674,0.621227674,0.038595771,0.244508315,0.074727982,0.621227674,0.306945863,0.306945863,0.299284985,0.299284985,0.306945863,0.299284985,0.165879696,0.165879696,0.165879696,0.227272727,0.227272727,0.260980592,0.260980592,0.234933606,0.234933606,0.276813075,0.276813075,0.227272727,0.260980592,0.234933606,0.276813075
Census Tract,48001950800,48001950800,TX,5751,2219,23.76194399,61.58401977,53.00741351,137.3797364,,,,,,0.010708402,0.023887974,0.15766503,0.15766503,0.84233497,0.84233497,0.010708402,0.023887974,0.010708402,0.023887974,0.15766503,0.84233497,0.257323119,0.257323119,0.465525011,0.465525011,0.166741776,0.166741776,0.110410095,0.110410095,0.257323119,0.465525011,0.166741776,0.110410095,0.637223975,0.637223975,0.003154574,0.003154574,0,0,0,0,0.359621451,0.359621451,0.637223975,0.003154574,0,0,0.359621451,0.010708402,0.023887974,0.010708402,0.023887974,,,,,0.010708402,0.023887974,1,1,0,0,0,0,0,0,0,0,0.004694836,0.004694836,0.113023822,0.113023822,0.144148844,0.144148844,0.720918101,0.720918101,0.004694836,0.113023822,0.144148844,0.720918101,0.332242226,0.332242226,0.314784506,0.314784506,0.332242226,0.314784506,0.157488751,0.157488751,0.157488751,0.266230224,0.266230224,0.365521004,0.365521004,0.136933988,0.136933988,0.231314785,0.231314785,0.266230224,0.365521004,0.136933988,0.231314785
Census Tract,48001950901,48001950901,TX,4980,2223,78.78448276,176.4942529,78.78448276,176.4942529,,,,,,0.035440613,0.035440613,0.277504105,0.277504105,0.722495895,0.722495895,0.035440613,0.035440613,0.035440613,0.035440613,0.277504105,0.722495895,0.246963563,0.246963563,0.472784525,0.472784525,0.203328835,0.203328835,0.076923077,0.076923077,0.246963563,0.472784525,0.203328835,0.076923077,0.58974359,0.58974359,0.031938821,0.031938821,0.01934323,0.01934323,0,0,0.358974359,0.358974359,0.58974359,0.031938821,0.01934323,0,0.358974359,0.035440613,0.035440613,0.035440613,0.035440613,0.035440613,0.035440613,,,0.035440613,0.035440613,1,1,0,0,0,0,0,0,0,0,0.00502008,0.00502008,0.086947791,0.086947791,0.076305221,0.076305221,0.827108434,0.827108434,0.00502008,0.086947791,0.076305221,0.827108434,0.314723591,0.314723591,0.405035577,0.405035577,0.314723591,0.405035577,0.169959677,0.169959677,0.169959677,0.32785988,0.32785988,0.28407225,0.28407225,0.122605364,0.122605364,0.265462507,0.265462507,0.32785988,0.28407225,0.122605364,0.265462507
Census Tract,48001950902,48001950902,TX,7079,3369,211.5519009,444.516446,211.5519009,444.516446,,,,,,0.062793678,0.062793678,0.18018018,0.18018018,0.81981982,0.81981982,0.062793678,0.062793678,0.062793678,0.062793678,0.18018018,0.81981982,0.24814485,0.24814485,0.376669635,0.376669635,0.237162363,0.237162363,0.138023152,0.138023152,0.24814485,0.376669635,0.237162363,0.138023152,0.676758682,0.676758682,0.011872959,0.011872959,0,0,0.001780944,0.001780944,0.309587415,0.309587415,0.676758682,0.011872959,0,0.001780944,0.309587415,0.062793678,0.062793678,0.062793678,0.062793678,,,0.062793678,0.062793678,0.062793678,0.062793678,0.969187675,0.969187675,0,0,0,0,0.005602241,0.005602241,0.025210084,0.025210084,0,0,0.038564769,0.038564769,0.080378585,0.080378585,0.86608278,0.86608278,0,0.038564769,0.080378585,0.86608278,0.369369369,0.369369369,0.293139293,0.293139293,0.369369369,0.293139293,0.116486681,0.116486681,0.116486681,0.246015246,0.246015246,0.268191268,0.268191268,0.208246708,0.208246708,0.277546778,0.277546778,0.246015246,0.268191268,0.208246708,0.277546778
Census Tract,48001951000,48001951000,TX,4595,2311,94.74298329,188.3790602,94.74298329,188.3790602,,,,,,0.040996531,0.040996531,0.215123095,0.215123095,0.784876905,0.784876905,0.040996531,0.040996531,0.040996531,0.040996531,0.215123095,0.784876905,0.257464301,0.257464301,0.412375595,0.412375595,0.223712679,0.223712679,0.106447425,0.106447425,0.257464301,0.412375595,0.223712679,0.106447425,0.592816962,0.592816962,0.022933795,0.022933795,0,0,0,0,0.384249243,0.384249243,0.592816962,0.022933795,0,0,0.384249243,0.040996531,0.040996531,0.040996531,0.040996531,,,,,0.040996531,0.040996531,1,1,0,0,0,0,0,0,0,0,0.008922742,0.008922742,0.109466812,0.109466812,0.11773667,0.11773667,0.762132753,0.762132753,0.008922742,0.109466812,0.11773667,0.762132753,0.264947245,0.264947245,0.362250879,0.362250879,0.264947245,0.362250879,0.150816105,0.150816105,0.150816105,0.280187573,0.280187573,0.254396249,0.254396249,0.178194607,0.178194607,0.287221571,0.287221571,0.280187573,0.254396249,0.178194607,0.287221571
Census Tract,48001951100,48001951100,TX,2160,738,28.2667282,82.7318874,28.2667282,82.7318874,,,,,,0.0383018,0.0383018,0.238028169,0.238028169,0.761971831,0.761971831,0.0383018,0.0383018,0.0383018,0.0383018,0.238028169,0.761971831,0.269647697,0.269647697,0.472899729,0.472899729,0.176151762,0.176151762,0.081300813,0.081300813,0.269647697,0.472899729,0.176151762,0.081300813,0.815718157,0.815718157,0,0,0,0,0,0,0.184281843,0.184281843,0.815718157,0,0,0,0.184281843,0.0383018,0.0383018,,,,,,,0.0383018,0.0383018,1,1,0,0,0,0,0,0,0,0,0.029166667,0.029166667,0.012037037,0.012037037,0.256018519,0.256018519,0.686111111,0.686111111,0.029166667,0.012037037,0.256018519,0.686111111,0.421126761,0.421126761,0.197183099,0.197183099,0.421126761,0.197183099,0.038888889,0.038888889,0.038888889,0.056338028,0.056338028,0.201408451,0.201408451,0.088732394,0.088732394,0.653521127,0.653521127,0.056338028,0.201408451,0.088732394,0.653521127
